,char1,char2,Part,word_count,pos,neu,neg,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,char1x,char1y,char2x,char2y
54,Dolly,Kitty,6,94,0.061,0.902,0.037,0.0,0.0,0.0,0.0,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.9749,-0.2225,-0.9749,-0.2225
55,Levin,Vronsky,6,645,0.106,0.811,0.083,0.013953488372093023,0.009302325581395349,0.004651162790697674,0.009302325581395349,0.004651162790697674,0.023255813953488372,0.03565891472868217,0.004651162790697674,0.004651162790697674,0.018604651162790697,0.7818,0.6235,0.4339,-0.901
56,Dolly,Vronsky,6,2672,0.152,0.775,0.073,0.008607784431137725,0.013847305389221557,0.0033682634730538923,0.01122754491017964,0.014595808383233533,0.020209580838323353,0.02881736526946108,0.009730538922155689,0.0074850299401197605,0.012724550898203593,0.9749,-0.2225,0.4339,-0.901
57,Anna,Vronsky,6,3471,0.125,0.792,0.083,0.005762028233938346,0.01901469317199654,0.00432152117545376,0.008066839527513685,0.014405070584845865,0.021607605877268798,0.03313166234514549,0.00979544799769519,0.008354940939210602,0.01699798329011812,0.0,1.0,0.4339,-0.901
58,Anna,Levin,7,2071,0.192,0.756,0.053,0.003380009657170449,0.017865765330758086,0.0014485755673587638,0.005311443746982134,0.02317720907774022,0.014485755673587638,0.04442298406566876,0.008208594881699663,0.009657170449058426,0.025108643167551906,0.0,1.0,0.7818,0.6235
59,Karenin,Stiva,7,2466,0.117,0.81,0.073,0.010543390105433901,0.01338199513381995,0.004460665044606651,0.00932684509326845,0.00932684509326845,0.019870235198702353,0.023519870235198703,0.011759935117599351,0.006893755068937551,0.021492295214922953,-0.4339,-0.901,-0.7818,0.6235
60,Anna,Stiva,7,45,0.126,0.829,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.022222222222222223,0.0,1.0,-0.7818,0.6235
61,Levin,Vronsky,7,227,0.192,0.774,0.035,0.0,0.022026431718061675,0.0,0.0,0.02643171806167401,0.0,0.04405286343612335,0.0,0.004405286343612335,0.013215859030837005,0.7818,0.6235,0.4339,-0.901
62,Anna,Vronsky,7,9655,0.122,0.751,0.127,0.011496633868461937,0.01729673744174003,0.0069394096323148625,0.012428793371310202,0.016571724495080268,0.025582599689280165,0.031279129984464006,0.012739513205592957,0.006835836354220611,0.017918177110305543,0.0,1.0,0.4339,-0.901
63,Anna,Kitty,7,409,0.162,0.682,0.156,0.014669926650366748,0.007334963325183374,0.014669926650366748,0.014669926650366748,0.014669926650366748,0.022004889975550123,0.039119804400977995,0.014669926650366748,0.0024449877750611247,0.022004889975550123,0.0,1.0,-0.9749,-0.2225
